Bin Id,Marker Id,Gene Ids
final.contigs.fa.metabat_bins_18,TIGR00615,k99_2591935_8
final.contigs.fa.metabat_bins_18,TIGR00615,k99_3655990_22
final.contigs.fa.metabat_bins_18,TIGR00855,k99_204220_2
final.contigs.fa.metabat_bins_18,TIGR00855,k99_213705_2
final.contigs.fa.metabat_bins_18,TIGR00329,k99_3454033_21
final.contigs.fa.metabat_bins_18,TIGR00329,k99_661317_29
final.contigs.fa.metabat_bins_18,PF03484.10,k99_3934541_17
final.contigs.fa.metabat_bins_18,PF03484.10,k99_4608626_9
final.contigs.fa.metabat_bins_18,PF08529.6,k99_2579845_10
final.contigs.fa.metabat_bins_18,PF08529.6,k99_4028770_25
final.contigs.fa.metabat_bins_18,PF00828.14,k99_1453772_7
final.contigs.fa.metabat_bins_18,PF00828.14,k99_4236851_2
final.contigs.fa.metabat_bins_18,PF04983.13,k99_23256_1
final.contigs.fa.metabat_bins_18,PF04983.13,k99_265131_1
final.contigs.fa.metabat_bins_18,PF04565.11,k99_204220_3
final.contigs.fa.metabat_bins_18,PF04565.11,k99_213705_3
final.contigs.fa.metabat_bins_18,PF02367.12,k99_3600667_4
final.contigs.fa.metabat_bins_18,PF02367.12,k99_4398167_5
final.contigs.fa.metabat_bins_18,PF01668.13,k99_1810190_10
final.contigs.fa.metabat_bins_18,PF01668.13,k99_1819235_6
final.contigs.fa.metabat_bins_18,PF02130.12,k99_1829140_5
final.contigs.fa.metabat_bins_18,PF02130.12,k99_2111575_10
final.contigs.fa.metabat_bins_18,PF04563.10,k99_204220_3
final.contigs.fa.metabat_bins_18,PF04563.10,k99_213705_3
final.contigs.fa.metabat_bins_18,PF04560.15,k99_204220_3
final.contigs.fa.metabat_bins_18,PF04560.15,k99_213705_3
final.contigs.fa.metabat_bins_18,PF10385.4,k99_204220_3
final.contigs.fa.metabat_bins_18,PF10385.4,k99_213705_3
final.contigs.fa.metabat_bins_18,PF01196.14,k99_1273405_3
final.contigs.fa.metabat_bins_18,PF01196.14,k99_2305949_9
final.contigs.fa.metabat_bins_18,PF13184.1,k99_2579845_10
final.contigs.fa.metabat_bins_18,PF13184.1,k99_4028770_25
final.contigs.fa.metabat_bins_18,PF00312.17,k99_3658692_4
final.contigs.fa.metabat_bins_18,PF00312.17,k99_78192_11
final.contigs.fa.metabat_bins_18,PF04561.9,k99_204220_3
final.contigs.fa.metabat_bins_18,PF04561.9,k99_213705_3
final.contigs.fa.metabat_bins_18,PF01195.14,k99_2212286_1
final.contigs.fa.metabat_bins_18,PF01195.14,k99_98495_1
final.contigs.fa.metabat_bins_18,PF04997.7,k99_23256_1
final.contigs.fa.metabat_bins_18,PF04997.7,k99_265131_1
final.contigs.fa.metabat_bins_18,PF01649.13,k99_302442_4
final.contigs.fa.metabat_bins_18,PF01649.13,k99_572659_4
final.contigs.fa.metabat_bins_18,TIGR03263,k99_2077626_2
final.contigs.fa.metabat_bins_18,TIGR03263,k99_785140_5
final.contigs.fa.metabat_bins_18,PF03948.9,k99_347510_10
final.contigs.fa.metabat_bins_18,PF03948.9,k99_4308553_17
final.contigs.fa.metabat_bins_18,PF05000.12,k99_23256_1
final.contigs.fa.metabat_bins_18,PF05000.12,k99_265131_1
final.contigs.fa.metabat_bins_18,PF00380.14,k99_442697_9
final.contigs.fa.metabat_bins_18,PF00380.14,k99_897359_5
final.contigs.fa.metabat_bins_18,PF01245.15,k99_2642884_5
final.contigs.fa.metabat_bins_18,PF01245.15,k99_3862900_22
final.contigs.fa.metabat_bins_18,PF00162.14,k99_2767397_3
final.contigs.fa.metabat_bins_18,PF00162.14,k99_280889_3
final.contigs.fa.metabat_bins_18,TIGR02075,k99_392786_1
final.contigs.fa.metabat_bins_18,TIGR02075,k99_620153_1
final.contigs.fa.metabat_bins_18,PF01000.21,k99_1273405_2
final.contigs.fa.metabat_bins_18,PF01000.21,k99_2305949_10
final.contigs.fa.metabat_bins_18,PF06421.7,k99_1252875_4
final.contigs.fa.metabat_bins_18,PF06421.7,k99_553274_4
final.contigs.fa.metabat_bins_18,PF01193.19,k99_1273405_2
final.contigs.fa.metabat_bins_18,PF01193.19,k99_2305949_10
final.contigs.fa.metabat_bins_18,PF05697.8,k99_3186317_5
final.contigs.fa.metabat_bins_18,PF05697.8,k99_335459_1
final.contigs.fa.metabat_bins_18,TIGR00810,k99_2767397_5
final.contigs.fa.metabat_bins_18,TIGR00810,k99_280889_1
final.contigs.fa.metabat_bins_18,PF00562.23,k99_204220_3
final.contigs.fa.metabat_bins_18,PF00562.23,k99_213705_3
final.contigs.fa.metabat_bins_18,PF00572.13,k99_442697_10
final.contigs.fa.metabat_bins_18,PF00572.13,k99_897359_4
final.contigs.fa.metabat_bins_18,PF00453.13,k99_3934541_19
final.contigs.fa.metabat_bins_18,PF00453.13,k99_4608626_11
final.contigs.fa.metabat_bins_18,PF00411.14,k99_1453772_1
final.contigs.fa.metabat_bins_18,PF00411.14,k99_4236851_8
final.contigs.fa.metabat_bins_18,TIGR03723,k99_3454033_21
final.contigs.fa.metabat_bins_18,TIGR03723,k99_661317_29
final.contigs.fa.metabat_bins_18,TIGR02432,k99_1118434_4
final.contigs.fa.metabat_bins_18,TIGR02432,k99_752520_2
final.contigs.fa.metabat_bins_18,PF00416.17,k99_1453772_2
final.contigs.fa.metabat_bins_18,PF00416.17,k99_4236851_7
final.contigs.fa.metabat_bins_18,TIGR00460,k99_2598592_6
final.contigs.fa.metabat_bins_18,TIGR00460,k99_3183633_9
final.contigs.fa.metabat_bins_18,PF05491.8,k99_225233_33
final.contigs.fa.metabat_bins_18,PF05491.8,k99_57127_35
final.contigs.fa.metabat_bins_18,PF01746.16,k99_2642884_7
final.contigs.fa.metabat_bins_18,PF01746.16,k99_3862900_24
final.contigs.fa.metabat_bins_18,PF02978.14,k99_2642884_11
final.contigs.fa.metabat_bins_18,PF02978.14,k99_3862900_28
final.contigs.fa.metabat_bins_18,PF02912.13,k99_3934541_18
final.contigs.fa.metabat_bins_18,PF02912.13,k99_4608626_10
final.contigs.fa.metabat_bins_18,PF00623.15,k99_23256_1
final.contigs.fa.metabat_bins_18,PF00623.15,k99_265131_1
final.contigs.fa.metabat_bins_18,PF00886.14,k99_2642884_10
final.contigs.fa.metabat_bins_18,PF00886.14,k99_3862900_27
final.contigs.fa.metabat_bins_18,TIGR00344,k99_2108466_4
final.contigs.fa.metabat_bins_18,TIGR00344,k99_547092_10
final.contigs.fa.metabat_bins_18,PF01795.14,k99_140861_6
final.contigs.fa.metabat_bins_18,PF01795.14,k99_3862900_6
final.contigs.fa.metabat_bins_2,PF01795.14,k99_164024_20
final.contigs.fa.metabat_bins_2,PF01795.14,k99_1871425_105
final.contigs.fa.metabat_bins_20,PF00410.14,k99_1697948_1
final.contigs.fa.metabat_bins_20,PF00410.14,k99_2508603_1
final.contigs.fa.metabat_bins_20,PF12344.3,k99_1743232_1
final.contigs.fa.metabat_bins_20,PF12344.3,k99_443233_5
final.contigs.fa.metabat_bins_20,PF00203.16,k99_1697948_11
final.contigs.fa.metabat_bins_20,PF00203.16,k99_268830_6
final.contigs.fa.metabat_bins_20,TIGR00459,k99_1226839_1
final.contigs.fa.metabat_bins_20,TIGR00459,k99_292620_1
final.contigs.fa.metabat_bins_20,TIGR00755,k99_2365255_1
final.contigs.fa.metabat_bins_20,TIGR00755,k99_3932404_5
final.contigs.fa.metabat_bins_20,TIGR00615,k99_1408387_5
final.contigs.fa.metabat_bins_20,TIGR00615,k99_3831171_3
final.contigs.fa.metabat_bins_20,TIGR00615,k99_4271187_5
final.contigs.fa.metabat_bins_20,TIGR00329,k99_2332402_2
final.contigs.fa.metabat_bins_20,TIGR00329,k99_451500_2
final.contigs.fa.metabat_bins_20,PF04565.11,k99_2556739_2
final.contigs.fa.metabat_bins_20,PF04565.11,k99_4253548_1
final.contigs.fa.metabat_bins_20,PF01016.14,k99_2365255_4
final.contigs.fa.metabat_bins_20,PF01016.14,k99_3932404_2
final.contigs.fa.metabat_bins_20,PF02367.12,k99_1245672_3
final.contigs.fa.metabat_bins_20,PF02367.12,k99_4348375_9
final.contigs.fa.metabat_bins_20,PF00276.15,k99_1697948_13
final.contigs.fa.metabat_bins_20,PF00276.15,k99_268830_4
final.contigs.fa.metabat_bins_20,PF00338.17,k99_1697948_16
final.contigs.fa.metabat_bins_20,PF00338.17,k99_268830_1
final.contigs.fa.metabat_bins_20,PF04560.15,k99_2556739_2
final.contigs.fa.metabat_bins_20,PF04560.15,k99_4253548_1
final.contigs.fa.metabat_bins_20,PF04560.15,k99_716223_3
final.contigs.fa.metabat_bins_20,PF04563.10,k99_2556739_2
final.contigs.fa.metabat_bins_20,PF04563.10,k99_4253548_1
final.contigs.fa.metabat_bins_20,PF03947.13,k99_1697948_12
final.contigs.fa.metabat_bins_20,PF03947.13,k99_268830_5
final.contigs.fa.metabat_bins_20,PF00181.18,k99_1697948_12
final.contigs.fa.metabat_bins_20,PF00181.18,k99_268830_5
final.contigs.fa.metabat_bins_20,PF10385.4,k99_2556739_2
final.contigs.fa.metabat_bins_20,PF10385.4,k99_4253548_1
final.contigs.fa.metabat_bins_20,TIGR00019,k99_1572226_4
final.contigs.fa.metabat_bins_20,TIGR00019,k99_637447_1
final.contigs.fa.metabat_bins_20,PF00573.17,k99_1697948_14
final.contigs.fa.metabat_bins_20,PF00573.17,k99_268830_3
final.contigs.fa.metabat_bins_20,PF13603.1,k99_1306080_1
final.contigs.fa.metabat_bins_20,PF13603.1,k99_4434891_4
final.contigs.fa.metabat_bins_20,PF00297.17,k99_1697948_15
final.contigs.fa.metabat_bins_20,PF00297.17,k99_268830_2
final.contigs.fa.metabat_bins_20,PF00562.23,k99_2556739_2
final.contigs.fa.metabat_bins_20,PF00562.23,k99_4253548_1
final.contigs.fa.metabat_bins_20,PF00562.23,k99_716223_3
final.contigs.fa.metabat_bins_20,PF11987.3,k99_1233524_2
final.contigs.fa.metabat_bins_20,PF11987.3,k99_2188143_1
final.contigs.fa.metabat_bins_20,PF11987.3,k99_579960_1
final.contigs.fa.metabat_bins_20,TIGR03723,k99_2332402_2
final.contigs.fa.metabat_bins_20,TIGR03723,k99_451500_2
final.contigs.fa.metabat_bins_20,PF04561.9,k99_2556739_2
final.contigs.fa.metabat_bins_20,PF04561.9,k99_4253548_1
final.contigs.fa.metabat_bins_24,PF00162.14,k99_1469502_2
final.contigs.fa.metabat_bins_24,PF00162.14,k99_306574_4
final.contigs.fa.metabat_bins_28,PF00410.14,k99_1255909_6
final.contigs.fa.metabat_bins_28,PF00410.14,k99_1263735_6
final.contigs.fa.metabat_bins_28,PF00410.14,k99_4616534_2
final.contigs.fa.metabat_bins_28,PF12344.3,k99_3089127_1
final.contigs.fa.metabat_bins_28,PF12344.3,k99_3504630_1
final.contigs.fa.metabat_bins_28,PF00861.17,k99_1255909_8
final.contigs.fa.metabat_bins_28,PF00861.17,k99_1263735_8
final.contigs.fa.metabat_bins_28,PF00164.20,k99_1161055_2
final.contigs.fa.metabat_bins_28,PF00164.20,k99_448549_2
final.contigs.fa.metabat_bins_28,PF00416.17,k99_1022232_8
final.contigs.fa.metabat_bins_28,PF00416.17,k99_314077_4
final.contigs.fa.metabat_bins_28,PF00416.17,k99_66161_6
final.contigs.fa.metabat_bins_28,PF00466.15,k99_1898199_6
final.contigs.fa.metabat_bins_28,PF00466.15,k99_863042_6
final.contigs.fa.metabat_bins_28,PF00831.18,k99_945314_8
final.contigs.fa.metabat_bins_28,PF00831.18,k99_949689_8
final.contigs.fa.metabat_bins_28,PF00162.14,k99_1561562_2
final.contigs.fa.metabat_bins_28,PF00162.14,k99_1665390_2
final.contigs.fa.metabat_bins_28,PF01193.19,k99_1022232_5
final.contigs.fa.metabat_bins_28,PF01193.19,k99_314077_1
final.contigs.fa.metabat_bins_28,PF01193.19,k99_66161_9
final.contigs.fa.metabat_bins_28,PF00298.14,k99_1898199_4
final.contigs.fa.metabat_bins_28,PF00298.14,k99_863042_4
final.contigs.fa.metabat_bins_28,PF01018.17,k99_2816862_2
final.contigs.fa.metabat_bins_28,PF01018.17,k99_3056185_3
final.contigs.fa.metabat_bins_28,PF04998.12,k99_1161055_1
final.contigs.fa.metabat_bins_28,PF04998.12,k99_448549_1
final.contigs.fa.metabat_bins_28,PF01409.15,k99_244029_2
final.contigs.fa.metabat_bins_28,PF01409.15,k99_2548080_1
final.contigs.fa.metabat_bins_28,PF01409.15,k99_3528161_1
final.contigs.fa.metabat_bins_28,TIGR00855,k99_2248529_2
final.contigs.fa.metabat_bins_28,TIGR00855,k99_4243078_2
final.contigs.fa.metabat_bins_28,PF03484.10,k99_244029_1
final.contigs.fa.metabat_bins_28,PF03484.10,k99_2548080_2
final.contigs.fa.metabat_bins_28,PF03484.10,k99_3528161_2
final.contigs.fa.metabat_bins_28,PF04983.13,k99_1161055_1
final.contigs.fa.metabat_bins_28,PF04983.13,k99_448549_1
final.contigs.fa.metabat_bins_28,PF04565.11,k99_2248529_1
final.contigs.fa.metabat_bins_28,PF04565.11,k99_4243078_1
final.contigs.fa.metabat_bins_28,PF00203.16,k99_945314_4
final.contigs.fa.metabat_bins_28,PF00203.16,k99_949689_4
final.contigs.fa.metabat_bins_28,TIGR00250,k99_756639_2
final.contigs.fa.metabat_bins_28,TIGR00250,k99_760876_2
final.contigs.fa.metabat_bins_28,PF05000.12,k99_1161055_1
final.contigs.fa.metabat_bins_28,PF05000.12,k99_448549_1
final.contigs.fa.metabat_bins_28,PF00276.15,k99_945314_2
final.contigs.fa.metabat_bins_28,PF00276.15,k99_949689_2
final.contigs.fa.metabat_bins_28,PF04560.15,k99_2248529_1
final.contigs.fa.metabat_bins_28,PF04560.15,k99_4243078_1
final.contigs.fa.metabat_bins_28,PF04997.7,k99_1161055_1
final.contigs.fa.metabat_bins_28,PF04997.7,k99_448549_1
final.contigs.fa.metabat_bins_28,PF04563.10,k99_2248529_1
final.contigs.fa.metabat_bins_28,PF04563.10,k99_4243078_1
final.contigs.fa.metabat_bins_28,PF03947.13,k99_945314_3
final.contigs.fa.metabat_bins_28,PF03947.13,k99_949689_3
final.contigs.fa.metabat_bins_28,PF00181.18,k99_945314_3
final.contigs.fa.metabat_bins_28,PF00181.18,k99_949689_3
final.contigs.fa.metabat_bins_28,PF10385.4,k99_2248529_1
final.contigs.fa.metabat_bins_28,PF10385.4,k99_4243078_1
final.contigs.fa.metabat_bins_28,PF01196.14,k99_1022232_4
final.contigs.fa.metabat_bins_28,PF01196.14,k99_66161_10
final.contigs.fa.metabat_bins_28,PF04561.9,k99_2248529_1
final.contigs.fa.metabat_bins_28,PF04561.9,k99_4243078_1
final.contigs.fa.metabat_bins_28,PF00281.14,k99_1255909_4
final.contigs.fa.metabat_bins_28,PF00281.14,k99_1263735_4
final.contigs.fa.metabat_bins_28,PF00281.14,k99_4616534_4
final.contigs.fa.metabat_bins_28,PF00673.16,k99_1255909_4
final.contigs.fa.metabat_bins_28,PF00673.16,k99_1263735_4
final.contigs.fa.metabat_bins_28,PF00673.16,k99_4616534_4
final.contigs.fa.metabat_bins_28,PF00687.16,k99_1898199_5
final.contigs.fa.metabat_bins_28,PF00687.16,k99_863042_5
final.contigs.fa.metabat_bins_28,TIGR00922,k99_1898199_3
final.contigs.fa.metabat_bins_28,TIGR00922,k99_863042_3
final.contigs.fa.metabat_bins_28,PF00347.18,k99_1255909_7
final.contigs.fa.metabat_bins_28,PF00347.18,k99_1263735_7
final.contigs.fa.metabat_bins_28,PF00347.18,k99_4616534_1
final.contigs.fa.metabat_bins_28,PF00380.14,k99_1022232_1
final.contigs.fa.metabat_bins_28,PF00380.14,k99_66161_13
final.contigs.fa.metabat_bins_28,PF00572.13,k99_1022232_2
final.contigs.fa.metabat_bins_28,PF00572.13,k99_66161_12
final.contigs.fa.metabat_bins_28,PF01000.21,k99_1022232_5
final.contigs.fa.metabat_bins_28,PF01000.21,k99_314077_1
final.contigs.fa.metabat_bins_28,PF01000.21,k99_66161_9
final.contigs.fa.metabat_bins_28,PF00562.23,k99_2248529_1
final.contigs.fa.metabat_bins_28,PF00562.23,k99_4243078_1
final.contigs.fa.metabat_bins_28,PF00366.15,k99_1255909_1
final.contigs.fa.metabat_bins_28,PF00366.15,k99_1263735_1
final.contigs.fa.metabat_bins_28,TIGR01079,k99_1255909_3
final.contigs.fa.metabat_bins_28,TIGR01079,k99_1263735_3
final.contigs.fa.metabat_bins_28,TIGR01079,k99_4616534_5
final.contigs.fa.metabat_bins_28,PF01245.15,k99_2244286_3
final.contigs.fa.metabat_bins_28,PF01245.15,k99_364721_8
final.contigs.fa.metabat_bins_28,PF00411.14,k99_1022232_7
final.contigs.fa.metabat_bins_28,PF00411.14,k99_314077_3
final.contigs.fa.metabat_bins_28,PF00411.14,k99_66161_7
final.contigs.fa.metabat_bins_28,PF01250.12,k99_1013155_2
final.contigs.fa.metabat_bins_28,PF01250.12,k99_750895_6
final.contigs.fa.metabat_bins_28,PF00238.14,k99_1255909_2
final.contigs.fa.metabat_bins_28,PF00238.14,k99_1263735_2
final.contigs.fa.metabat_bins_28,PF00238.14,k99_4616534_6
final.contigs.fa.metabat_bins_28,PF00177.16,k99_1161055_3
final.contigs.fa.metabat_bins_28,PF00177.16,k99_448549_3
final.contigs.fa.metabat_bins_28,PF03946.9,k99_1898199_4
final.contigs.fa.metabat_bins_28,PF03946.9,k99_863042_4
final.contigs.fa.metabat_bins_28,PF00252.13,k99_945314_7
final.contigs.fa.metabat_bins_28,PF00252.13,k99_949689_7
final.contigs.fa.metabat_bins_28,PF00573.17,k99_945314_1
final.contigs.fa.metabat_bins_28,PF00573.17,k99_949689_1
final.contigs.fa.metabat_bins_28,PF00237.14,k99_945314_5
final.contigs.fa.metabat_bins_28,PF00237.14,k99_949689_5
final.contigs.fa.metabat_bins_28,PF01121.15,k99_1628975_3
final.contigs.fa.metabat_bins_28,PF01121.15,k99_920041_3
final.contigs.fa.metabat_bins_28,PF01746.16,k99_2244286_2
final.contigs.fa.metabat_bins_28,PF01746.16,k99_364721_7
final.contigs.fa.metabat_bins_28,PF02912.13,k99_1424373_5
final.contigs.fa.metabat_bins_28,PF02912.13,k99_244029_2
final.contigs.fa.metabat_bins_28,PF00623.15,k99_1161055_1
final.contigs.fa.metabat_bins_28,PF00623.15,k99_448549_1
final.contigs.fa.metabat_bins_28,PF00189.15,k99_945314_6
final.contigs.fa.metabat_bins_28,PF00189.15,k99_949689_6
final.contigs.fa.metabat_bins_28,PF01795.14,k99_1864492_4
final.contigs.fa.metabat_bins_28,PF01795.14,k99_294251_5
final.contigs.fa.metabat_bins_28,PF03719.10,k99_1255909_9
final.contigs.fa.metabat_bins_28,PF03719.10,k99_1263735_9
final.contigs.fa.metabat_bins_28,PF00333.15,k99_1255909_9
final.contigs.fa.metabat_bins_28,PF00333.15,k99_1263735_9
final.contigs.fa.metabat_bins_30,PF02130.12,k99_1452799_3
final.contigs.fa.metabat_bins_30,PF02130.12,k99_4019826_2
final.contigs.fa.metabat_bins_30,PF08459.6,k99_1554955_1
final.contigs.fa.metabat_bins_30,PF08459.6,k99_3228960_3
final.contigs.fa.metabat_bins_30,PF08459.6,k99_4655479_1
final.contigs.fa.metabat_bins_30,TIGR03263,k99_1688816_2
final.contigs.fa.metabat_bins_30,TIGR03263,k99_3655423_1
final.contigs.fa.metabat_bins_33,TIGR03594,k99_1566293_2
final.contigs.fa.metabat_bins_33,TIGR03594,k99_3362159_6
final.contigs.fa.metabat_bins_36,PF00252.13,k99_2519212_8
final.contigs.fa.metabat_bins_36,PF00252.13,k99_25218_2
final.contigs.fa.metabat_bins_36,PF08529.6,k99_1441121_2
final.contigs.fa.metabat_bins_36,PF08529.6,k99_2644678_3
final.contigs.fa.metabat_bins_36,PF08529.6,k99_4114486_4
final.contigs.fa.metabat_bins_36,PF02367.12,k99_1903503_2
final.contigs.fa.metabat_bins_36,PF02367.12,k99_801686_4
final.contigs.fa.metabat_bins_36,PF13184.1,k99_1441121_2
final.contigs.fa.metabat_bins_36,PF13184.1,k99_2644678_3
final.contigs.fa.metabat_bins_36,PF00281.14,k99_2519212_3
final.contigs.fa.metabat_bins_36,PF00281.14,k99_4069747_4
final.contigs.fa.metabat_bins_36,PF00673.16,k99_2519212_3
final.contigs.fa.metabat_bins_36,PF00673.16,k99_4069747_4
